customerID,SeniorCitizen,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2758-UDMDO,0,55,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Mailed check,57.22,3167.79,No
6792-MUGOH,0,35,Yes,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,Electronic check,24.17,836.48,No
5580-BGSUH,0,52,Yes,No,No,No,No,No,Yes,Yes,One year,Bank transfer,89.22,4667.73,No
3323-HHZQK,0,48,Yes,Yes,Yes,No,No,Yes,No,No,Month-to-month,Mailed check,39.12,1803.37,No
5157-NOKZH,0,31,Yes,,No,Yes,No,No,Yes,Yes,Month-to-month,Credit card,48.81,1521.26,No
4845-AMWZM,0,22,Yes,No,No,Yes,No,No,Yes,No,One year,Electronic check,58.2,1257.26,No
2254-SQYNA,0,45,Yes,No,No,No,Yes,Yes,Yes,No,One year,Credit card,60.49,2865.16,No
9106-RUDLL,0,10,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,Credit card,18.17,189.49,No
3408-WEBGZ,0,42,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Mailed check,29.43,1206.24,No
2020-PEKOA,0,6,Yes,Yes,No,No,No,Yes,No,Yes,One year,Bank transfer,106.0,567.08,No
3170-PAMPF,0,47,No,No,No,Yes,No,Yes,No,No,One year,Mailed check,18.13,917.38,No
2459-MSAIZ,0,45,Yes,Yes,Yes,Yes,No,Yes,No,No,Two year,Bank transfer,69.83,3124.85,No
4020-ITMKU,0,6,Yes,No,No,Yes,Yes,Yes,No,Yes,One year,Credit card,67.93,368.01,No
1276-SJXSY,0,55,Yes,Yes,Yes,No,Yes,No,No,No,One year,Bank transfer,51.98,2875.71,No
2158-EXKVR,0,30,Yes,Yes,No,No,No,No,No,No,Two year,Bank transfer,62.0,1892.49,No
5497-BBSCA,0,57,Yes,No,Yes,No,No,No,Yes,No,Two year,Credit card,97.62,5596.04,No
2975-XQSQO,0,3,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Mailed check,103.8,312.39,Yes
3307-LOZXT,0,13,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Electronic check,44.56,587.24,No
8318-URVBA,0,36,Yes,No,No,No,Yes,Yes,Yes,Yes,Two year,Bank transfer,50.89,1843.64,No
4998-BIFYR,0,13,Yes,No,No,Yes,No,No,No,No,Month-to-month,Bank transfer,42.73,572.31,No
1377-QTIWZ,0,24,Yes,Yes,No,No,No,No,No,No,Month-to-month,Electronic check,66.95,1628.04,No
9825-CLULM,0,48,Yes,,No,No,Yes,No,Yes,Yes,One year,Bank transfer,87.69,4263.84,No
3954-KSAUS,0,10,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,Electronic check,41.28,415.62,No
2247-UNILN,0,49,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,Mailed check,51.74,2494.42,No
2894-PQJLQ,0,7,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Credit card,112.9,783.09,Yes
5531-LYWJS,0,12,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Bank transfer,22.95,313.09,Yes
8290-CPUBI,0,42,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Bank transfer,65.0,2640.67,No
8179-YZPBA,0,57,Yes,No,No,No,Yes,Yes,Yes,No,Two year,Bank transfer,90.58,5074.02,No
8299-TFDDW,1,12,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Electronic check,33.35,446.11,No
7881-YCSYN,0,21,Yes,Yes,Yes,No,No,No,Yes,Yes,One year,Credit card,22.83,555.44,No
7965-PALGC,0,67,Yes,Yes,Yes,No,No,No,Yes,No,Month-to-month,Mailed check,32.1,2087.44,Yes
6359-YBIRI,0,72,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,Credit card,111.72,8048.86,No
2048-EAZMY,0,42,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,Credit card,18.94,775.5,No
7170-JYGEU,0,32,No,No,No,No,Yes,No,No,No,Month-to-month,Electronic check,37.21,1177.68,No
5979-KPZHX,0,25,Yes,No,Yes,No,No,No,Yes,No,One year,Bank transfer,21.19,545.03,No
9196-TECDS,0,44,Yes,No,No,Yes,Yes,No,No,No,One year,Electronic check,29.28,1223.68,No
4599-ZAJGW,0,43,Yes,No,No,No,No,No,No,Yes,Month-to-month,Bank transfer,81.26,3438.82,No
2090-KWZXQ,0,21,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Mailed check,42.65,880.59,No
2466-CKMNB,0,1,Yes,No,No,Yes,No,No,Yes,No,One year,Electronic check,76.06,68.79,Yes
7077-KCXJG,1,11,Yes,No,No,Yes,Yes,No,Yes,No,One year,Bank transfer,78.2,803.9,Yes
5431-YVCRR,0,69,Yes,Yes,No,No,No,No,No,No,Month-to-month,Credit card,104.64,7259.64,No
8972-ZTRJX,0,30,Yes,No,No,Yes,Yes,No,No,No,One year,Electronic check,18.48,533.52,No
9486-ZYQYU,0,35,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card,105.04,3655.31,Yes
3161-AZLWH,0,34,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Credit card,81.15,2773.23,No
4245-VNRIP,0,57,Yes,No,Yes,Yes,No,No,No,No,One year,Bank transfer,34.6,1965.75,No
5381-YMCTY,0,4,Yes,Yes,No,Yes,No,No,Yes,No,One year,Credit card,96.84,429.23,Yes
8944-CZJVQ,0,6,Yes,Yes,No,No,Yes,No,No,Yes,Two year,Mailed check,105.26,584.89,No
9756-IPREU,0,20,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Bank transfer,43.93,808.73,Yes
2290-VDEME,0,35,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Bank transfer,111.72,3894.71,Yes
1690-BHMBD,0,48,Yes,No,No,No,No,No,No,No,One year,Bank transfer,64.35,3091.81,Yes
6504-ITVAY,0,35,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Credit card,79.55,2722.21,Yes
7152-VMAXO,1,32,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,Credit card,118.43,3720.37,Yes
1334-EFJLL,0,68,Yes,No,No,No,No,No,No,Yes,One year,Credit card,54.88,3740.95,No
8812-YRQWG,1,11,Yes,No,No,Yes,No,No,No,No,Month-to-month,Bank transfer,100.94,1072.45,Yes
6022-QHYGB,1,41,Yes,No,Yes,No,No,No,No,No,Month-to-month,Credit card,50.48,1997.05,No
3910-VJFWD,0,39,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,Bank transfer,99.52,3929.55,No
2428-XIALT,0,34,Yes,Yes,No,No,No,No,Yes,No,Two year,Bank transfer,79.27,2663.59,No
7812-CHQRQ,0,58,Yes,No,Yes,No,No,No,No,No,Month-to-month,Electronic check,40.07,2381.55,No
4040-WCVYR,0,19,Yes,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,Mailed check,60.23,1145.79,No
4865-JLEFQ,0,69,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card,50.4,3492.34,No
5951-MMCWY,0,24,Yes,No,Yes,No,Yes,No,Yes,No,Month-to-month,Mailed check,25.97,612.71,No
3207-IQACX,0,39,No,No,No,Yes,No,No,No,No,Month-to-month,Bank transfer,21.04,687.8,Yes
2552-PWTHD,1,38,Yes,No,No,Yes,No,No,No,No,One year,Credit card,53.34,1970.08,No
7460-KZQAG,0,62,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Mailed check,19.94,1229.99,No
7699-STGGF,1,32,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,Mailed check,34.88,1134.4,No
7261-AVHMG,0,20,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,91.97,1749.92,Yes
4826-TFOBE,0,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,90.23,87.55,No
7159-OPFFL,0,26,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,Bank transfer,93.34,2370.73,No
2160-XGSEQ,1,60,Yes,No,Yes,Yes,No,No,No,Yes,One year,Bank transfer,50.35,3032.73,No
2834-HKDDT,1,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Mailed check,108.78, ,No
4110-OQQQZ,1,65,Yes,No,Yes,No,No,No,No,Yes,One year,Mailed check,78.57,5144.23,No
6676-JHUKO,0,39,Yes,Yes,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,30.85,1256.49,Yes
8333-GFBBQ,0,10,Yes,Yes,Yes,No,No,No,No,No,Two year,Credit card,32.66,349.55,No
5531-HFSCS,0,22,Yes,Yes,No,No,No,No,No,Yes,One year,Bank transfer,88.7,1994.42,Yes
9142-LMNCQ,1,40,Yes,No,No,No,No,No,Yes,No,Month-to-month,Electronic check,35.64,1408.08,No
4286-MAWIB,0,23,Yes,Yes,No,No,Yes,No,No,No,Month-to-month,Bank transfer,69.74,1745.18,Yes
8037-ZNAZF,0,7,Yes,Yes,No,No,No,No,Yes,No,One year,Mailed check,119.16,773.18,Yes
3163-SICRG,0,48,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-month,Credit card,18.41,857.29,No
8753-EXSGP,0,49,Yes,No,Yes,No,Yes,Yes,No,No,Month-to-month,Mailed check,19.69,1009.88,No
9444-BVLYF,0,8,Yes,No,No,No,No,Yes,No,No,One year,Credit card,119.29,991.96,Yes
7474-ZICKP,0,20,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Bank transfer,77.63,1576.97,No
6670-MYPQY,0,17,Yes,Yes,No,No,No,No,No,No,Two year,Electronic check,30.94,559.75,No
9452-IHTNL,0,48,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Credit card,109.52,5152.78,No
7284-RXJTF,0,53,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-month,Bank transfer,107.8,5792.86,No
9432-CTCWY,0,53,Yes,No,Yes,No,Yes,Yes,No,No,Month-to-month,Mailed check,72.69,3842.38,No
8360-UMGZN,0,68,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Electronic check,81.42,5598.85,No
8347-SSJLL,0,56,Yes,No,No,No,No,No,No,No,Two year,Mailed check,45.87,2467.04,No
6421-SFFBN,0,23,No,Yes,No,No,No,No,No,Yes,Two year,Bank transfer,23.15,545.28,No
7018-FSAWR,0,7,Yes,No,No,Yes,No,No,No,Yes,Two year,Electronic check,78.65,522.37,Yes
7148-SJZTE,0,44,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Mailed check,48.07,2143.69,Yes
9300-TIYGQ,1,66,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Bank transfer,85.69,5671.39,No
7030-ZOZHU,0,71,Yes,No,No,No,Yes,No,No,No,Month-to-month,Bank transfer,103.3,7352.6,No
3208-ZTQBM,0,16,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,Credit card,19.85,264.65,No
2296-XJVXC,0,17,Yes,No,Yes,Yes,No,Yes,No,No,Two year,Electronic check,78.76,1336.07,No
7832-HCGOW,0,2,Yes,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,Credit card,41.59,74.17,Yes
7224-GHHTN,0,10,No,No,No,No,No,No,No,Yes,Month-to-month,Mailed check,107.14,1096.17,Yes
1215-BBYNM,1,40,Yes,No,No,No,No,No,Yes,No,Month-to-month,Electronic check,43.87,1804.26,No
7848-EAHFU,0,39,Yes,Yes,No,No,No,No,No,Yes,One year,Credit card,80.3,3139.22,No
8364-QXMGI,1,27,No,No,No,Yes,Yes,No,No,No,Month-to-month,Bank transfer,74.46,1946.61,Yes
2274-XPUHS,0,22,Yes,No,No,No,Yes,Yes,Yes,Yes,One year,Bank transfer,58.41,1290.4,Yes
3974-LQZOS,0,60,Yes,No,No,No,No,No,No,No,One year,Mailed check,87.12,5357.75,No
6351-LYYIX,0,33,Yes,No,Yes,Yes,No,No,No,Yes,Two year,Credit card,92.03,3119.29,No
5060-TNTWL,0,59,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,75.83,4325.25,No
7305-NUESP,0,70,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Electronic check,95.36,6678.37,No
5062-JSJAY,0,23,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Electronic check,118.31,2767.74,Yes
5030-EFVIH,0,14,Yes,Yes,No,Yes,No,No,No,Yes,Two year,Bank transfer,60.77,841.66,No
5385-AOBVL,0,69,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Two year,Electronic check,70.49,4840.81,No
2963-LEIDR,0,46,Yes,No,No,No,Yes,No,No,Yes,One year,Credit card,19.27,873.07,No
9784-MCBVJ,0,21,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,99.19,2110.6,No
3664-CRBXF,0,45,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Bank transfer,71.06,3140.28,No
1621-SJSBW,0,37,No,Yes,No,No,No,Yes,No,No,One year,Credit card,59.61,2265.0,No
3787-TYNII,0,66,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Credit card,27.6,1818.8,No
7176-ADQAH,0,18,Yes,No,No,Yes,No,Yes,Yes,No,One year,Mailed check,108.74,1910.57,Yes
6828-GYZAE,0,72,Yes,Yes,No,Yes,No,Yes,No,No,Two year,Electronic check,58.29,4253.1,No
9165-AMYPH,0,68,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,Credit card,87.62,5880.9,No
1057-KOCNK,0,13,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Mailed check,33.24,404.36,Yes
3932-ZXSPM,1,12,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Credit card,116.08,1364.38,Yes
1633-HAJMP,0,38,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-month,Electronic check,36.2,1482.8,No
4194-GSDDS,0,3,No,No,Yes,No,No,No,No,Yes,One year,Bank transfer,38.35,80.8,No
6272-WTXRV,0,21,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Electronic check,105.62,2110.27,No
2522-NYUKY,0,31,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-month,Mailed check,111.08,3414.39,No
3812-AUKAF,0,70,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Electronic check,39.64,2797.58,No
1647-ZWYEU,0,72,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Credit card,65.92,4785.44,No
6073-HRYLA,0,11,Yes,No,No,No,No,Yes,Yes,No,One year,Bank transfer,92.82,1134.85,Yes
8580-EEQUU,1,65,Yes,No,No,No,No,Yes,Yes,No,One year,Electronic check,107.59,7063.69,No
8810-WDHSK,0,6,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Mailed check,56.66,349.36,Yes
7443-LLAPW,0,54,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Mailed check,70.74,3775.39,Yes
8367-IRFQK,0,61,Yes,Yes,No,No,No,Yes,No,Yes,Month-to-month,Bank transfer,93.66,5794.46,Yes
9339-SBWSF,0,65,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Mailed check,92.58,5999.27,No
3542-EIYXO,1,16,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-month,Mailed check,97.86,1532.85,Yes
4259-JYFTZ,0,65,Yes,Yes,Yes,No,No,Yes,No,No,Two year,Credit card,76.13,4927.6,No
8696-SXFZC,0,8,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Bank transfer,28.67,166.75,No
1124-FPGQC,1,37,Yes,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,Credit card,110.21,4054.52,No
7272-FNDZJ,0,34,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Credit card,106.29,3602.2,No
6441-MPLBV,0,23,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One year,Credit card,99.41,2322.96,No
6781-GCXIX,0,1,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Credit card,28.19,8.79,No
7892-YREAG,0,56,Yes,Yes,No,No,Yes,No,No,No,Two year,Bank transfer,38.85,2112.23,No
4952-QXDQC,0,24,Yes,No,No,No,No,No,Yes,No,Month-to-month,Bank transfer,93.85,2172.21,Yes
5332-BJPTU,0,48,Yes,No,Yes,Yes,Yes,No,Yes,No,Two year,Bank transfer,20.36,987.76,No
5720-GXYZU,0,29,No,Yes,Yes,No,Yes,No,Yes,Yes,One year,Electronic check,117.88,3422.15,Yes
8000-COKGB,1,27,No,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,Credit card,56.47,1496.97,Yes
2919-XXTCR,0,64,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,Bank transfer,91.37,5824.31,Yes
2140-RAHDY,0,6,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Credit card,108.53,670.6,Yes
6118-XATMM,1,53,Yes,Yes,Yes,Yes,No,Yes,No,No,Two year,Bank transfer,58.25,3156.78,No
8858-BYAJD,0,54,Yes,Yes,No,No,Yes,Yes,No,No,Two year,Mailed check,50.55,2690.69,No
5707-PQUTY,0,27,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,Mailed check,80.09,2166.88,No
5046-EEHPB,0,19,Yes,Yes,No,Yes,Yes,Yes,No,No,Month-to-month,Credit card,77.26,1515.85,No
9592-ZEUPM,0,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Month-to-month,Bank transfer,59.73, ,No
7610-OIODG,0,68,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,Credit card,79.38,5397.06,No
9755-EPHMG,0,69,Yes,No,No,No,No,No,Yes,No,One year,Bank transfer,113.41,7823.39,No
6118-OQIPS,0,17,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-month,Bank transfer,65.7,1051.34,No
7478-OHNNY,0,2,Yes,No,No,No,No,No,Yes,No,Month-to-month,Electronic check,38.07,84.56,Yes
4392-ITQLA,0,8,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,Electronic check,56.48,453.42,No
7343-TYNNF,0,4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One year,Bank transfer,58.2,260.55,Yes
5136-ANSUR,0,60,Yes,No,No,No,Yes,Yes,Yes,No,One year,Electronic check,31.37,1822.86,No
8247-RULPQ,0,65,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Electronic check,34.61,2250.15,No
6152-OUGIN,0,11,Yes,Yes,Yes,No,Yes,No,No,Yes,Two year,Credit card,87.83,1035.22,No
6807-NFVOL,0,54,Yes,Yes,Yes,Yes,No,No,No,No,One year,Bank transfer,52.63,2945.89,No
8901-LEZJX,0,13,Yes,No,No,Yes,No,Yes,No,No,Month-to-month,Electronic check,115.4,1564.21,Yes
5651-GJXYD,0,26,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,Mailed check,42.85,1055.25,No
9883-WQEPL,0,43,Yes,No,No,Yes,No,Yes,Yes,Yes,Two year,Mailed check,28.09,1230.42,No
2120-ZPCIV,1,52,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,94.86,4908.56,No
4979-MDCZY,0,63,Yes,Yes,No,No,No,Yes,No,Yes,Two year,Bank transfer,107.87,6810.01,No
1857-ORWOW,0,3,Yes,No,Yes,Yes,Yes,No,No,Yes,One year,Mailed check,46.37,100.5,No
2087-AMGTI,0,14,Yes,Yes,No,No,No,Yes,Yes,Yes,One year,Credit card,38.61,454.87,No
4662-NYBOK,0,20,Yes,No,Yes,No,No,No,No,Yes,One year,Electronic check,36.95,721.77,No
1324-VXETS,1,22,Yes,No,Yes,No,Yes,No,Yes,Yes,Two year,Credit card,71.25,1603.63,No
7347-LIBAE,0,72,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Electronic check,65.78,4750.56,No
5750-DRQIC,0,56,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,Credit card,44.46,2509.91,No
5656-VKUHC,0,23,Yes,Yes,No,Yes,Yes,No,No,No,One year,Credit card,22.61,530.85,No
6849-XWYCB,0,70,Yes,No,No,No,No,Yes,No,Yes,Month-to-month,Mailed check,67.11,4717.93,No
6124-YZHJR,0,36,Yes,Yes,No,No,No,No,No,No,One year,Mailed check,115.85,4197.08,Yes
9221-EZVBV,0,36,Yes,No,No,No,No,No,Yes,Yes,One year,Electronic check,84.56,3030.43,No
6774-ZFZBB,0,31,Yes,No,No,No,No,No,No,Yes,Month-to-month,Mailed check,68.54,2128.88,No
5028-REHKD,0,10,Yes,Yes,No,Yes,No,No,No,No,One year,Bank transfer,29.29,380.06,No
2583-DYYQR,0,68,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Bank transfer,43.75,2982.1,No
2233-BJZMV,0,1,Yes,No,No,Yes,Yes,No,Yes,Yes,Two year,Electronic check,48.07,50.2,No
4328-IVMTS,0,12,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Electronic check,96.01,1157.26,No
7543-RVMHN,0,16,Yes,Yes,No,No,Yes,No,Yes,No,One year,Bank transfer,107.42,1707.82,Yes
3921-BJNNI,0,20,No,No,No,Yes,No,No,Yes,No,Two year,Bank transfer,109.97,2177.63,No
7528-HQHZQ,0,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Credit card,118.43,1076.3,Yes
6010-LTLUE,1,1,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-month,Credit card,118.2,92.91,Yes
8380-ZGFYK,0,49,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,Bank transfer,115.21,5638.01,Yes
7257-ELSXL,0,70,Yes,Yes,No,No,No,Yes,No,No,One year,Bank transfer,25.33,1733.57,No
1676-KQWVT,0,8,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Bank transfer,32.05,261.8,No
2487-NOMXY,0,21,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,Mailed check,49.06,1059.47,Yes
2891-YWSJT,1,36,No,No,No,No,Yes,No,Yes,No,Two year,Bank transfer,74.4,2667.8,Yes
6274-XSZKC,0,67,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,Electronic check,27.89,1768.21,No
5427-ZRSQP,0,50,Yes,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Credit card,104.27,5243.02,Yes
1552-KCISU,0,55,Yes,Yes,Yes,Yes,No,No,No,Yes,One year,Credit card,80.91,4456.06,No
3012-RFFYP,0,42,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Mailed check,73.32,3029.78,No
2777-DBMCP,0,30,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,Mailed check,34.86,1084.46,No
4903-QFDCC,0,14,Yes,No,No,Yes,Yes,Yes,Yes,No,Two year,Mailed check,43.83,543.7,No
1650-GUPGY,0,63,Yes,No,No,Yes,No,Yes,Yes,No,One year,Credit card,34.35,2216.32,No
7848-UXTYI,0,58,Yes,No,No,No,No,No,Yes,No,Month-to-month,Electronic check,104.9,6081.33,No
8704-CHXDN,0,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One year,Mailed check,77.59,0.0,No
4064-CGNQR,1,52,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-month,Bank transfer,92.98,4843.88,No
2183-ICAKQ,0,6,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,Bank transfer,48.2,268.89,No
4336-BFLJV,0,53,Yes,Yes,No,No,Yes,No,No,Yes,One year,Mailed check,55.87,2933.27,No
6381-ZEJCA,0,60,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,59.3,3521.11,No
9314-MRHBX,1,9,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Bank transfer,95.52,853.32,No
6925-SNKKT,0,31,Yes,No,No,No,Yes,No,No,No,Two year,Bank transfer,96.78,2975.92,No
3045-IHNZX,0,9,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Credit card,39.09,258.98,No
5902-FYIJX,0,41,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,114.04,4739.24,Yes
3369-MXIQA,0,67,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,30.31,2018.55,No
9959-KRNLK,0,5,Yes,Yes,No,No,No,Yes,Yes,Yes,One year,Mailed check,109.4,510.4,No
1159-HJJHQ,1,29,Yes,,Yes,Yes,No,Yes,No,No,One year,Bank transfer,28.24,762.54,No
8461-XZQKQ,0,71,Yes,No,Yes,No,No,No,Yes,Yes,Two year,Electronic check,44.98,3232.12,No
2191-VNELH,0,21,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,104.34,2126.22,No
4145-BAJHZ,0,9,Yes,No,Yes,No,Yes,No,No,Yes,One year,Mailed check,36.31,333.49,No
3362-IXWBC,0,35,Yes,Yes,No,No,No,No,No,No,One year,Mailed check,60.18,2077.12,No
1854-LOJAF,0,37,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,Bank transfer,63.89,2337.66,No
6530-JDQPM,0,48,No,Yes,No,No,Yes,No,Yes,No,Month-to-month,Electronic check,43.02,2009.78,No
9460-VBXBM,0,22,Yes,Yes,Yes,No,Yes,No,No,Yes,Two year,Credit card,90.45,1958.88,No
9114-ZABGH,0,69,No,No,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,104.84,7234.4,No
3514-KIPWO,0,38,Yes,No,No,No,Yes,No,Yes,Yes,One year,Mailed check,107.21,4085.75,Yes
3986-OQXYH,0,20,No,No,Yes,No,No,No,No,Yes,Month-to-month,Credit card,52.61,1012.92,No
9263-VDODM,0,70,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,Bank transfer,72.15,5045.95,No
1402-HPHAK,1,67,Yes,No,No,No,No,No,No,No,Two year,Credit card,43.34,2948.2,No
5870-TDMFD,0,36,Yes,Yes,No,Yes,No,Yes,No,Yes,Two year,Electronic check,42.97,1463.79,No
2097-TXRJY,0,1,No,No,No,No,Yes,No,Yes,No,Month-to-month,Bank transfer,34.45,34.14,No
5473-NQRMM,0,43,No,No,Yes,Yes,No,No,No,No,One year,Electronic check,113.88,4849.3,No
3861-RRLSD,0,40,No,Yes,No,Yes,No,No,No,Yes,Month-to-month,Bank transfer,108.57,4290.17,Yes
4745-ZTSWP,0,10,Yes,Yes,No,No,No,Yes,Yes,No,One year,Mailed check,97.29,985.95,No
6962-MVSND,0,46,Yes,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Credit card,70.8,3229.54,No
8253-IJDFD,1,61,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,68.04,4089.6,No
1877-AHTWF,0,7,Yes,No,No,No,Yes,No,No,No,Month-to-month,Credit card,72.03,570.42,No
4814-VSXKE,0,52,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Mailed check,72.73,3827.96,No
2288-SALJX,0,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer,62.33,526.68,No
9982-MPJUH,0,54,Yes,Yes,No,No,No,No,No,No,Month-to-month,Bank transfer,31.44,1624.04,No
7698-XEFJV,0,30,Yes,No,Yes,Yes,Yes,No,No,No,Two year,Electronic check,30.82,954.27,No
6767-FJQZL,1,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Mailed check,115.13, ,Yes
1670-CADKH,0,70,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-month,Bank transfer,67.17,4776.93,Yes
3708-TMSOF,0,12,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Credit card,115.23,1413.58,Yes
