StudentRef,study_hours_per_week,attendance_percent,previous_exam_score,age,parental_education,school_type,internet_access,extracurricular,grade
STU-20385,13.4,90.9,86.5,17,High School,Public,Yes,No,D
STU-20386,13.3,82.6,72.9,17,High School,Public,Yes,No,C
STU-20387,7.9,74.4,59.6,17,Bachelors,Public,Yes,Yes,B
STU-20388,24.0,73.0,53.5,17,Bachelors,Public,Yes,Yes,B
STU-20389,16.4,64.8,68.9,16,High School,Public,Yes,No,D
STU-20390,13.3,58.4,56.0,17,PhD,Private,No,Yes,D
STU-20391,3.8,83.8,79.0,15,Bachelors,Private,Yes,No,D
STU-20392,18.3,86.6,71.6,15,Bachelors,Public,Yes,Yes,A
STU-20393,16.0,74.8,77.3,17,High School,Public,Yes,Yes,B
STU-20394,23.7,83.5,86.9,16,High School,Public,Yes,Yes,A
STU-20395,14.2,74.2,73.9,16,High School,Private,Yes,Yes,C
STU-20396,8.2,74.6,80.3,17,Bachelors,Public,No,Yes,D
STU-20397,15.6,87.2,88.8,17,High School,Public,Yes,Yes,A
STU-20398,3.7,86.9,78.7,17,PhD,Public,Yes,No,B
STU-20399,5.7,100.0,36.5,18,Masters,Public,Yes,No,F
STU-20400,14.3,73.0,89.0,15,Bachelors,Public,Yes,Yes,A
STU-20401,16.1,84.8,74.9,15,PhD,Private,Yes,No,A
STU-20402,24.1,77.3,79.7,15,Bachelors,Public,Yes,No,A
STU-20403,0.9,82.9,94.9,17,PhD,Public,Yes,No,F
STU-20404,21.9,98.0,68.0,18,High School,Public,Yes,Yes,A
STU-20405,10.1,,78.4,16,High School,Private,Yes,Yes,B
STU-20406,0.8,68.5,39.0,17,Bachelors,Private,Yes,Yes,D
STU-20407,9.9,73.1,93.9,16,PhD,Public,No,No,C
STU-20408,15.0,71.2,70.1,15,High School,Public,Yes,Yes,D
STU-20409,9.2,76.0,67.2,17,High School,Public,Yes,No,D
STU-20410,8.8,70.1,67.1,15,Masters,Private,Yes,Yes,A
STU-20411,20.4,72.6,79.9,16,Masters,Public,Yes,Yes,A
STU-20412,10.6,77.3,42.9,16,Bachelors,Public,No,Yes,C
STU-20413,23.9,84.5,99.5,16,Bachelors,Public,No,Yes,A
STU-20414,6.5,67.4,72.8,16,Bachelors,Public,No,Yes,C
STU-20415,2.5,80.7,69.5,15,High School,Private,No,Yes,B
STU-20416,12.1,80.4,92.3,15,Bachelors,Private,Yes,Yes,B
STU-20417,18.2,92.0,84.4,16,Bachelors,Public,No,Yes,B
STU-20418,8.8,83.4,78.9,16,PhD,Private,Yes,No,C
STU-20419,6.1,87.3,57.2,18,PhD,Private,Yes,Yes,B
STU-20420,14.0,83.7,87.8,16,High School,Private,Yes,No,B
STU-20421,20.5,96.2,75.0,15,PhD,Public,Yes,No,B
STU-20422,14.4,77.9,58.5,16,Bachelors,Public,Yes,Yes,B
STU-20423,15.0,58.2,68.3,18,High School,Public,Yes,No,D
STU-20424,9.9,84.7,75.3,16,High School,Public,Yes,No,B
STU-20425,16.4,65.5,59.7,18,PhD,Private,No,No,B
STU-20426,19.0,47.6,83.9,15,Bachelors,Private,Yes,Yes,B
STU-20427,2.0,86.5,62.5,16,High School,Public,Yes,No,F
STU-20428,24.4,79.0,84.4,15,High School,Public,Yes,No,A
STU-20429,10.8,82.3,75.4,15,Masters,Private,Yes,No,C
STU-20430,11.5,86.1,78.1,16,Bachelors,Private,Yes,Yes,A
STU-20431,12.4,76.9,55.8,15,High School,Public,Yes,Yes,B
STU-20432,18.3,94.9,72.3,16,Masters,Private,Yes,Yes,A
STU-20433,11.8,80.4,80.2,16,Bachelors,Public,Yes,No,C
STU-20434,15.2,75.0,76.1,18,High School,Private,No,Yes,B
STU-20435,7.4,79.8,65.3,16,PhD,Public,Yes,Yes,C
STU-20436,6.3,50.2,76.2,17,High School,Public,Yes,No,B
STU-20437,12.8,86.7,65.7,15,High School,Public,Yes,No,B
STU-20438,3.0,58.3,70.2,15,PhD,Public,No,Yes,F
STU-20439,1.2,85.0,89.1,17,Bachelors,Private,Yes,No,D
STU-20440,17.8,77.4,96.2,18,High School,Public,No,Yes,A
STU-20441,3.6,80.4,97.8,15,Bachelors,Public,Yes,Yes,C
STU-20442,15.6,67.7,79.9,17,Bachelors,Public,No,Yes,B
STU-20443,23.0,100.0,62.4,15,PhD,Private,Yes,Yes,B
STU-20444,20.8,50.2,66.9,18,High School,Public,Yes,No,B
STU-20445,2.7,77.4,87.8,18,Bachelors,Public,Yes,Yes,D
STU-20446,11.7,66.5,73.0,17,Masters,Public,Yes,Yes,B
STU-20447,13.8,56.6,94.4,18,Bachelors,Private,Yes,Yes,A
STU-20448,8.6,99.8,65.8,18,High School,Private,Yes,Yes,B
STU-20449,9.2,82.0,84.6,18,Bachelors,Public,Yes,Yes,B
STU-20450,23.9,100.0,51.3,15,Masters,Public,Yes,Yes,A
STU-20451,3.9,90.4,66.3,16,PhD,Public,Yes,Yes,F
STU-20452,21.2,86.5,78.8,17,High School,Public,Yes,Yes,A
STU-20453,19.5,87.4,77.2,15,Bachelors,Public,Yes,No,A
STU-20454,4.6,61.1,73.5,16,Masters,Public,Yes,No,C
STU-20455,9.2,60.7,54.1,16,PhD,Private,No,Yes,B
STU-20456,13.1,99.8,72.7,15,High School,Public,Yes,No,B
STU-20457,22.6,91.0,66.4,18,Masters,Private,Yes,No,A
STU-20458,0.0,69.0,61.0,16,PhD,Public,Yes,Yes,D
STU-20459,22.4,81.1,74.3,15,Masters,Private,Yes,No,B
STU-20460,1.4,81.9,58.4,18,Masters,Public,Yes,Yes,C
STU-20461,7.5,96.9,61.1,18,High School,Public,Yes,No,D
STU-20462,0.1,84.5,100.0,18,Bachelors,Public,Yes,Yes,B
STU-20463,24.2,69.8,76.4,16,Bachelors,Public,Yes,No,B
STU-20464,24.0,91.2,89.6,17,Bachelors,Public,Yes,No,A
STU-20465,10.8,,63.1,18,High School,Private,No,Yes,C
STU-20466,17.7,87.9,63.9,16,High School,Public,Yes,No,C
STU-20467,1.3,71.5,50.9,15,Masters,Public,Yes,Yes,D
STU-20468,13.9,35.0,50.7,18,PhD,Private,Yes,No,C
STU-20469,8.7,100.0,51.5,15,PhD,Public,No,No,C
STU-20470,13.8,66.6,77.9,15,PhD,Private,Yes,Yes,B
STU-20471,7.7,94.1,56.5,16,Bachelors,Public,Yes,No,F
STU-20472,16.6,88.9,57.5,17,PhD,Private,Yes,No,A
STU-20473,12.0,72.4,61.4,17,Bachelors,Public,Yes,No,A
STU-20474,12.3,63.4,81.3,18,High School,Public,Yes,No,B
STU-20475,12.3,100.0,64.5,18,Masters,Public,Yes,No,B
STU-20476,8.7,83.4,79.6,18,Bachelors,Public,Yes,No,C
STU-20477,12.7,98.4,54.8,16,High School,Public,No,No,B
STU-20478,18.0,84.9,79.4,16,Masters,Public,No,No,B
STU-20479,15.8,93.6,70.1,16,High School,Private,Yes,Yes,A
STU-20480,3.4,83.4,79.4,15,Bachelors,Public,Yes,Yes,B
STU-20481,16.5,61.8,53.2,18,High School,Public,Yes,Yes,C
STU-20482,5.0,69.2,68.0,15,Bachelors,Private,Yes,Yes,C
STU-20483,16.2,85.7,70.1,18,Bachelors,Public,Yes,Yes,A
STU-20484,18.5,63.2,59.8,18,Bachelors,Public,Yes,Yes,C
STU-20485,16.1,75.3,79.0,16,High School,Public,Yes,Yes,B
STU-20486,19.8,78.8,71.1,16,High School,Public,Yes,No,C
STU-20487,10.2,96.0,78.2,17,Masters,Private,Yes,No,A
STU-20488,24.8,100.0,61.4,17,PhD,Public,Yes,No,A
STU-20489,22.2,50.9,73.4,18,Masters,Public,Yes,Yes,B
STU-20490,13.3,86.2,49.1,16,Masters,Public,Yes,No,B
STU-20491,7.6,100.0,80.6,18,Masters,Private,Yes,Yes,B
STU-20492,23.4,60.9,49.9,16,High School,Private,Yes,Yes,B
STU-20493,14.4,64.8,59.9,17,Masters,Public,Yes,No,B
STU-20494,3.6,97.0,71.5,15,Masters,Public,No,No,B
STU-20495,10.3,82.7,78.3,16,PhD,Private,Yes,No,B
STU-20496,3.0,72.4,72.0,18,High School,Public,Yes,Yes,D
STU-20497,12.2,83.2,39.7,18,High School,Public,Yes,Yes,C
STU-20498,6.6,90.7,51.1,18,High School,Public,Yes,Yes,B
STU-20499,3.9,81.7,57.4,16,PhD,Public,Yes,Yes,D
STU-20500,19.0,85.9,68.0,17,Masters,Public,Yes,Yes,B
STU-20501,7.8,83.5,49.2,17,High School,Private,Yes,No,D
STU-20502,23.9,86.3,56.9,17,High School,Public,No,Yes,B
STU-20503,17.2,83.7,75.1,17,High School,Private,Yes,No,C
STU-20504,9.6,86.8,70.8,17,High School,Public,Yes,Yes,C
STU-20505,7.3,78.6,77.0,17,High School,Private,Yes,Yes,D
STU-20506,3.5,96.8,74.9,16,Bachelors,Public,Yes,No,C
STU-20507,8.8,76.7,47.3,17,Masters,Public,Yes,Yes,F
STU-20508,13.9,73.9,53.7,17,Bachelors,Public,Yes,Yes,C
STU-20509,0.4,60.6,70.0,15,Masters,Public,Yes,Yes,F
STU-20510,14.3,70.6,74.0,18,Bachelors,Public,Yes,Yes,C
STU-20511,5.3,83.4,60.2,16,High School,Public,Yes,No,F
STU-20512,4.1,78.6,83.0,16,High School,Public,Yes,Yes,C
STU-20513,3.8,89.7,58.2,17,Bachelors,Public,Yes,No,B
STU-20514,7.2,64.6,60.7,18,High School,Private,Yes,No,B
STU-20515,15.2,72.1,68.6,17,Masters,Public,No,Yes,B
STU-20516,6.5,53.0,72.6,15,High School,Public,Yes,Yes,D
STU-20517,16.8,77.3,59.4,18,Masters,Private,Yes,Yes,B
STU-20518,12.4,94.8,67.3,15,Bachelors,Public,Yes,Yes,A
STU-20519,8.9,87.8,54.0,17,High School,Public,No,No,D
STU-20520,24.0,75.4,57.5,16,Bachelors,Public,Yes,No,A
STU-20521,23.4,87.9,91.5,17,High School,Public,Yes,No,A
STU-20522,5.1,84.9,51.4,18,High School,Private,Yes,No,C
STU-20523,11.7,68.3,91.5,18,Masters,Private,Yes,Yes,A
STU-20524,14.0,66.5,59.8,17,Masters,Public,Yes,No,B
STU-20525,8.7,67.8,87.4,17,PhD,Public,Yes,No,F
STU-20526,9.2,87.3,61.7,16,Bachelors,Public,Yes,No,C
STU-20527,24.0,89.1,52.7,15,High School,Public,Yes,Yes,A
STU-20528,14.8,86.5,67.4,15,High School,Public,Yes,Yes,B
STU-20529,23.4,,68.4,18,Masters,Private,Yes,Yes,A
STU-20530,8.7,100.0,72.4,15,Bachelors,Public,Yes,Yes,C
STU-20531,16.2,78.0,53.6,18,PhD,Public,Yes,No,B
STU-20532,13.7,87.8,46.4,16,Bachelors,Public,Yes,Yes,B
STU-20533,19.8,83.5,65.3,18,Bachelors,Private,Yes,Yes,B
STU-20534,5.5,95.7,61.6,18,High School,Private,Yes,Yes,D
STU-20535,0.9,57.0,56.9,16,Bachelors,Private,No,No,F
STU-20536,20.3,88.3,67.3,16,High School,Public,Yes,No,B
STU-20537,22.3,78.2,89.2,18,Bachelors,Public,Yes,No,A
STU-20538,1.1,79.6,87.4,15,Bachelors,Public,No,No,D
STU-20539,22.0,66.0,73.7,18,Masters,Public,Yes,No,A
STU-20540,12.0,70.5,89.4,18,PhD,Public,Yes,Yes,A
STU-20541,1.9,98.1,98.7,17,High School,Private,Yes,No,A
STU-20542,6.3,93.2,91.6,17,High School,Private,Yes,Yes,B
STU-20543,4.2,60.5,43.6,17,PhD,Private,Yes,No,D
STU-20544,13.1,84.4,58.3,18,Masters,Private,Yes,No,B
STU-20545,24.9,73.9,74.2,17,Bachelors,Public,Yes,Yes,A
STU-20546,9.9,96.1,84.2,15,Masters,Public,Yes,No,A
STU-20547,17.2,87.3,50.9,15,Masters,Public,Yes,Yes,B
STU-20548,7.5,91.7,100.0,16,Bachelors,Public,Yes,No,C
STU-20549,3.3,80.0,59.8,18,High School,Public,Yes,Yes,C
STU-20550,24.5,81.5,55.1,15,Bachelors,Public,Yes,Yes,B
STU-20551,22.1,71.6,38.3,15,High School,Private,No,No,C
STU-20552,2.5,59.5,83.7,18,High School,Public,No,No,D
STU-20553,6.3,72.8,85.2,15,Bachelors,Public,Yes,No,C
STU-20554,13.6,98.3,83.9,16,Masters,Public,Yes,Yes,A
STU-20555,18.6,99.9,73.6,17,Bachelors,Private,No,Yes,A
STU-20556,7.7,68.3,75.6,18,Masters,Public,Yes,No,B
STU-20557,1.3,68.6,71.8,15,PhD,Public,Yes,Yes,C
STU-20558,6.7,70.1,97.6,18,High School,Public,Yes,Yes,C
STU-20559,14.1,69.5,81.3,15,High School,Public,Yes,No,B
STU-20560,21.5,63.9,86.4,18,High School,Public,Yes,No,A
STU-20561,0.5,70.7,45.0,15,PhD,Public,Yes,No,D
STU-20562,17.8,89.7,45.3,16,Bachelors,Public,No,No,D
STU-20563,15.2,90.8,87.7,15,Bachelors,Public,Yes,No,C
STU-20564,8.3,100.0,79.6,15,High School,Public,No,No,D
STU-20565,11.6,78.0,78.2,17,PhD,Private,No,Yes,A
STU-20566,1.0,49.7,68.9,18,Bachelors,Private,Yes,Yes,D
STU-20567,12.2,72.2,74.8,18,Masters,Private,No,No,C
STU-20568,19.2,65.0,63.4,17,Bachelors,Private,Yes,No,A
STU-20569,7.8,75.2,80.0,18,Bachelors,Private,Yes,Yes,A
STU-20570,14.0,69.6,44.9,15,Bachelors,Public,Yes,Yes,C
STU-20571,16.8,93.8,71.7,18,Bachelors,Public,No,No,B
STU-20572,2.9,68.1,60.6,16,Bachelors,Public,No,Yes,C
STU-20573,10.5,80.1,57.0,17,Bachelors,Public,Yes,Yes,D
STU-20574,7.3,100.0,66.7,18,Masters,Private,Yes,Yes,B
STU-20575,5.8,79.8,67.1,16,Bachelors,Private,Yes,Yes,B
STU-20576,14.9,56.4,68.3,16,Masters,Private,Yes,No,B
STU-20577,1.1,92.7,95.4,16,Bachelors,Private,Yes,Yes,B
STU-20578,12.8,86.6,51.5,15,High School,Private,Yes,Yes,C
STU-20579,18.1,87.7,55.5,16,High School,Public,Yes,No,B
STU-20580,5.4,89.7,70.3,18,Bachelors,Public,Yes,No,C
STU-20581,0.9,66.5,69.9,18,Bachelors,Public,Yes,Yes,D
STU-20582,21.6,65.9,76.0,15,Bachelors,Public,Yes,No,B
STU-20583,21.3,82.1,84.1,18,Masters,Public,Yes,No,A
STU-20584,8.5,55.9,75.3,17,Bachelors,Public,Yes,No,F
STU-20585,21.2,68.0,56.7,16,Bachelors,Public,Yes,No,A
STU-20586,5.7,96.3,100.0,17,High School,Private,Yes,Yes,B
STU-20587,5.0,61.9,73.0,15,High School,Public,Yes,No,D
STU-20588,17.8,84.9,70.7,18,Bachelors,Public,Yes,Yes,A
STU-20589,3.3,94.9,71.2,18,PhD,Public,Yes,Yes,D
STU-20590,8.9,79.0,57.1,16,Bachelors,Private,Yes,Yes,B
STU-20591,16.2,73.6,58.5,15,High School,Private,No,No,C
STU-20592,6.5,98.5,70.3,16,Masters,Public,Yes,No,C
STU-20593,0.2,60.5,74.1,18,High School,Public,Yes,Yes,F
STU-20594,22.7,100.0,78.2,16,High School,Public,No,Yes,A
STU-20595,8.1,67.2,54.2,18,Bachelors,Public,Yes,No,D
STU-20596,6.6,80.3,80.7,15,Masters,Public,Yes,Yes,A
STU-20597,13.0,64.3,53.4,15,High School,Private,Yes,Yes,C
STU-20598,20.8,64.6,86.3,18,Bachelors,Public,Yes,No,A
STU-20599,10.4,,100.0,17,Bachelors,Public,Yes,No,A
STU-20600,13.2,80.9,50.4,18,Bachelors,Public,Yes,Yes,A
STU-20601,19.6,87.2,77.6,15,Bachelors,Public,No,Yes,B
STU-20602,24.2,61.4,85.8,17,High School,Public,Yes,Yes,A
STU-20603,15.6,74.8,62.7,16,Masters,Public,Yes,No,B
STU-20604,20.4,62.3,92.3,15,Masters,Private,Yes,No,A
STU-20605,5.8,79.5,46.8,16,Bachelors,Public,Yes,No,F
STU-20606,5.7,86.4,60.3,18,Bachelors,Public,Yes,Yes,B
STU-20607,2.6,87.0,78.8,18,Bachelors,Public,Yes,No,B
STU-20608,6.8,87.2,93.7,15,Masters,Public,Yes,No,C
STU-20609,5.8,70.6,62.2,17,Bachelors,Public,Yes,Yes,C
STU-20610,20.4,88.0,47.7,16,Bachelors,Public,No,Yes,B
STU-20611,23.9,73.7,78.1,15,Bachelors,Public,Yes,No,B
STU-20612,2.8,99.1,95.5,18,Masters,Private,Yes,No,A
STU-20613,16.4,77.5,78.2,17,High School,Public,Yes,No,B
STU-20614,24.7,96.8,58.4,15,Masters,Public,Yes,No,A
STU-20615,23.1,74.8,48.1,15,Bachelors,Private,Yes,Yes,A
STU-20616,5.3,89.3,100.0,18,High School,Private,Yes,No,A
STU-20617,14.8,83.1,73.4,16,PhD,Public,Yes,Yes,A
STU-20618,17.1,59.0,43.9,17,Bachelors,Public,No,No,C
STU-20619,0.4,89.4,41.9,15,Bachelors,Public,No,Yes,F
STU-20620,2.0,66.9,89.6,18,Masters,Public,Yes,No,C
STU-20621,18.1,54.5,90.5,16,High School,Public,Yes,No,B
STU-20622,12.8,81.9,68.7,17,Masters,Public,No,Yes,C
STU-20623,17.0,96.0,62.8,18,Bachelors,Public,Yes,No,C
STU-20624,2.8,90.4,82.0,15,Bachelors,Public,Yes,No,D
STU-20625,4.9,67.9,83.4,18,Masters,Public,Yes,Yes,F
STU-20626,19.6,55.6,73.9,17,High School,Private,Yes,Yes,B
STU-20627,9.6,41.7,50.3,18,PhD,Private,Yes,Yes,D
STU-20628,12.2,70.7,74.9,18,Bachelors,Public,Yes,No,D
STU-20629,19.2,72.4,100.0,16,PhD,Public,Yes,Yes,A
STU-20630,2.1,77.5,53.3,17,Bachelors,Public,No,Yes,D
STU-20631,2.9,97.4,58.1,18,Masters,Public,No,No,D
STU-20632,12.5,77.0,57.5,18,Bachelors,Public,No,No,C
STU-20633,16.3,64.4,57.3,16,Bachelors,Public,Yes,No,C
STU-20634,8.3,63.9,94.3,18,PhD,Public,Yes,No,C
STU-20635,12.9,66.2,81.6,17,Bachelors,Private,Yes,Yes,B
STU-20636,18.8,70.3,53.9,18,High School,Private,Yes,No,C
STU-20637,21.6,84.4,51.8,17,High School,Public,Yes,Yes,B
STU-20638,6.3,75.3,68.6,18,PhD,Public,No,No,C
STU-20639,18.3,78.7,58.7,15,Bachelors,Public,Yes,No,C
STU-20640,5.4,81.3,75.4,17,Masters,Public,Yes,No,C
STU-20641,11.9,82.8,73.3,15,High School,Public,Yes,Yes,A
STU-20642,18.4,89.1,45.5,17,High School,Private,Yes,No,B
STU-20643,8.0,96.5,99.9,17,Bachelors,Private,Yes,No,A
STU-20644,15.4,65.7,57.3,17,Bachelors,Public,Yes,No,C
STU-20645,6.7,75.7,92.6,16,Masters,Public,Yes,Yes,B
STU-20646,15.6,78.2,72.5,16,High School,Public,No,Yes,C
STU-20647,12.3,77.7,65.2,17,Masters,Public,Yes,Yes,C
STU-20648,10.5,91.5,36.3,17,High School,Public,Yes,Yes,F
STU-20649,3.2,90.2,59.5,18,Bachelors,Public,Yes,No,F
STU-20650,9.7,70.9,87.5,16,Bachelors,Private,Yes,Yes,A
STU-20651,19.7,100.0,83.1,17,High School,Public,Yes,Yes,A
STU-20652,4.3,87.3,55.9,15,PhD,Public,Yes,No,D
STU-20653,19.5,89.8,28.5,18,Bachelors,Public,Yes,Yes,C
STU-20654,20.6,71.4,73.8,17,Masters,Public,Yes,No,B
STU-20655,23.0,91.2,49.4,15,Masters,Public,Yes,No,A
STU-20656,13.1,75.4,66.2,18,Bachelors,Public,Yes,Yes,C
STU-20657,12.8,66.5,52.6,17,Masters,Public,Yes,Yes,C
STU-20658,12.0,81.8,89.8,16,High School,Public,Yes,Yes,B
STU-20659,13.8,65.5,60.5,15,High School,Private,Yes,Yes,C
STU-20660,21.8,64.5,71.7,15,PhD,Public,Yes,Yes,A
STU-20661,14.0,86.4,66.9,15,High School,Public,Yes,No,A
STU-20662,14.2,91.3,59.4,17,Bachelors,Public,Yes,Yes,B
STU-20663,19.5,70.3,81.5,16,Bachelors,Public,No,No,A
STU-20664,7.7,93.7,75.6,18,High School,Public,Yes,No,B
STU-20665,0.7,96.7,75.0,16,High School,Public,Yes,No,D
STU-20666,23.2,96.4,63.6,15,Masters,Public,Yes,Yes,A
STU-20667,9.6,84.9,77.6,16,Bachelors,Public,Yes,No,C
STU-20668,12.2,75.8,52.4,17,Masters,Public,Yes,No,D
STU-20669,11.8,100.0,74.2,16,High School,Private,Yes,No,C
STU-20670,17.7,74.7,65.9,15,High School,Private,Yes,Yes,B
STU-20671,5.4,86.9,22.2,17,Bachelors,Private,Yes,Yes,D
STU-20672,6.4,,47.9,17,Masters,Public,Yes,Yes,C
STU-20673,5.9,100.0,63.2,18,Masters,Private,Yes,Yes,A
STU-20674,18.0,84.6,100.0,18,Bachelors,Public,No,Yes,B
STU-20675,10.8,84.1,89.9,16,Bachelors,Public,Yes,No,A
STU-20676,24.9,87.9,60.3,17,High School,Public,Yes,Yes,B
STU-20677,22.1,83.6,87.8,15,High School,Private,Yes,Yes,B
STU-20678,24.2,96.4,54.6,15,Bachelors,Public,Yes,No,B
STU-20679,5.2,95.8,88.2,18,Masters,Private,Yes,Yes,A
STU-20680,5.2,100.0,64.0,18,High School,Private,Yes,Yes,C
STU-20681,19.0,79.9,55.7,15,High School,Public,Yes,Yes,C
STU-20682,16.2,91.2,44.6,18,Masters,Public,No,Yes,A
STU-20683,7.6,70.6,66.9,15,High School,Public,No,Yes,F
STU-20684,9.7,74.9,85.0,16,Bachelors,Public,Yes,Yes,A
STU-20685,0.4,100.0,68.8,18,Masters,Public,Yes,No,C
STU-20686,24.5,77.0,100.0,18,Masters,Private,No,No,A
STU-20687,2.7,53.8,59.7,17,PhD,Public,Yes,Yes,D
STU-20688,20.1,73.1,88.6,18,Masters,Public,Yes,Yes,A
STU-20689,11.5,73.3,84.6,17,High School,Public,Yes,Yes,B
STU-20690,18.1,54.8,71.8,17,High School,Public,Yes,No,C
STU-20691,1.9,83.5,66.4,17,Masters,Public,Yes,Yes,D
STU-20692,13.1,92.7,59.0,18,Bachelors,Public,No,Yes,B
STU-20693,11.7,73.4,81.2,15,Masters,Public,Yes,No,A
STU-20694,17.5,94.6,82.4,16,Bachelors,Private,Yes,No,B
STU-20695,3.5,51.3,66.4,15,High School,Private,Yes,Yes,F
STU-20696,23.4,91.4,58.4,17,Bachelors,Public,Yes,No,A
STU-20697,24.8,80.5,49.3,18,High School,Public,Yes,Yes,A
STU-20698,5.2,100.0,68.1,18,Bachelors,Private,Yes,Yes,C
STU-20699,2.2,81.0,42.4,17,High School,Private,Yes,No,F
STU-20700,13.4,80.3,57.5,18,Bachelors,Public,Yes,Yes,C
STU-20701,11.0,80.4,100.0,16,High School,Public,No,No,C
STU-20702,16.1,75.8,54.9,17,High School,Public,Yes,No,B
STU-20703,24.6,75.3,61.8,18,Masters,Public,Yes,Yes,A
STU-20704,18.0,90.6,83.2,16,Bachelors,Public,Yes,Yes,A
STU-20705,18.1,84.6,76.6,18,High School,Public,Yes,Yes,B
STU-20706,22.4,85.0,65.1,17,Bachelors,Private,No,No,A
STU-20707,15.3,84.7,76.2,18,Bachelors,Public,Yes,Yes,A
STU-20708,8.3,71.1,67.3,15,High School,Public,Yes,Yes,D
STU-20709,3.5,100.0,70.0,18,Bachelors,Private,Yes,No,C
STU-20710,6.8,66.6,55.9,18,PhD,Public,Yes,No,C
STU-20711,15.0,94.0,77.7,16,High School,Private,Yes,Yes,A
STU-20712,5.9,78.4,72.5,17,Bachelors,Private,Yes,Yes,B
STU-20713,6.6,95.5,70.6,18,Bachelors,Public,Yes,Yes,B
STU-20714,17.3,77.6,75.3,16,PhD,Public,Yes,Yes,B
STU-20715,20.1,96.3,70.8,15,Bachelors,Private,Yes,Yes,A
STU-20716,7.3,87.9,63.2,18,Bachelors,Private,Yes,Yes,B
STU-20717,23.5,97.5,70.4,15,Masters,Public,Yes,Yes,A
STU-20718,19.3,100.0,60.5,15,High School,Public,Yes,No,A
STU-20719,8.8,84.0,32.6,16,PhD,Public,Yes,Yes,C
STU-20720,11.7,83.2,56.2,15,High School,Public,Yes,No,C
STU-20721,3.4,47.2,63.0,16,PhD,Private,Yes,No,D
STU-20722,19.6,81.3,69.5,17,PhD,Private,Yes,Yes,A
STU-20723,22.8,93.7,74.4,17,Masters,Public,Yes,Yes,A
STU-20724,19.8,77.5,89.5,16,PhD,Public,Yes,Yes,A
STU-20725,2.3,82.0,92.1,17,Bachelors,Private,Yes,No,C
STU-20726,23.6,78.8,93.2,17,Bachelors,Public,Yes,No,A
STU-20727,8.7,53.9,65.3,18,Bachelors,Public,Yes,Yes,C
STU-20728,14.8,93.2,85.2,16,PhD,Public,Yes,Yes,B
STU-20729,7.3,71.0,35.1,18,Bachelors,Public,Yes,No,D
STU-20730,8.5,62.0,51.1,16,High School,Public,Yes,Yes,F
STU-20731,7.6,94.9,94.4,17,Bachelors,Public,No,Yes,A
STU-20732,0.3,86.7,66.6,15,High School,Private,Yes,Yes,B
STU-20733,14.0,89.1,67.0,18,High School,Public,Yes,No,B
STU-20734,12.3,82.9,75.2,18,PhD,Public,No,Yes,B
STU-20735,16.3,71.9,76.9,15,High School,Public,Yes,Yes,A
STU-20736,9.7,93.7,64.8,18,Masters,Public,Yes,No,C
STU-20737,24.5,69.0,68.6,18,High School,Private,Yes,No,A
STU-20738,18.0,84.8,47.1,16,Bachelors,Public,No,Yes,D
STU-20739,18.8,67.2,74.4,15,Bachelors,Public,Yes,No,A
STU-20740,7.4,65.7,82.8,16,High School,Private,Yes,No,C
STU-20741,23.0,92.7,83.2,17,Masters,Public,Yes,No,A
STU-20742,19.0,70.3,72.1,18,High School,Public,Yes,Yes,A
STU-20743,17.7,100.0,60.7,18,Bachelors,Private,Yes,Yes,A
STU-20744,1.2,63.0,63.9,17,Masters,Public,Yes,Yes,F
STU-20745,13.3,96.2,56.9,17,Bachelors,Public,Yes,Yes,A
STU-20746,0.7,77.1,47.4,18,Masters,Public,Yes,Yes,C
STU-20747,4.2,92.1,76.4,18,Masters,Private,Yes,Yes,A
STU-20748,17.3,91.1,58.9,15,Bachelors,Public,Yes,Yes,B
STU-20749,9.5,55.8,100.0,15,High School,Private,Yes,Yes,B
STU-20750,20.4,89.9,73.7,16,Masters,Private,No,No,B
STU-20751,20.5,76.9,90.6,16,Masters,Public,No,No,A
STU-20752,1.3,68.2,45.8,16,High School,Public,No,No,F
STU-20753,5.7,96.0,67.0,18,Masters,Private,Yes,Yes,B
STU-20754,17.2,86.5,82.7,15,High School,Public,Yes,Yes,A
STU-20755,11.3,87.1,81.8,15,Bachelors,Private,No,No,B
STU-20756,21.8,100.0,75.3,16,High School,Public,Yes,Yes,B
STU-20757,21.7,95.6,77.8,16,PhD,Private,Yes,No,A
STU-20758,20.2,82.7,57.6,15,Bachelors,Public,Yes,No,B
STU-20759,17.1,70.0,56.3,17,Bachelors,Private,Yes,No,C
STU-20760,6.2,100.0,62.0,17,High School,Private,Yes,No,C
STU-20761,9.4,72.3,47.5,16,PhD,Public,No,No,C
STU-20762,0.2,58.9,84.7,15,Bachelors,Public,No,No,F
STU-20763,17.3,100.0,52.6,16,Masters,Public,Yes,Yes,B
STU-20764,1.8,100.0,53.8,17,High School,Private,Yes,Yes,C
STU-20765,9.0,58.6,66.2,16,High School,Public,Yes,No,F
STU-20766,0.2,86.7,94.6,17,High School,Public,Yes,Yes,F
STU-20767,1.3,61.6,73.5,18,High School,Public,No,Yes,F
STU-20768,19.1,90.4,77.5,18,High School,Public,Yes,Yes,A
STU-20769,7.0,75.1,71.2,17,High School,Public,Yes,No,D
STU-20770,15.2,61.9,93.7,18,Masters,Private,Yes,No,A
